01:32:50.583 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 4 by location: Jose
01:32:50.588 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 5 by location: #NoSONYESPNWhyTataSKY
01:32:50.588 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 6 by location: Mata
01:32:50.588 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 7 by location: Martial
01:32:50.588 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 8 by location: Man Utd
01:32:50.588 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 9 by location: #DancePlus4
01:32:50.589 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 10 by location: Pogba
01:32:50.589 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 11 by location: #WeekendKaVaar
01:32:50.589 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 12 by location: Amarinder Singh
01:32:50.589 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 13 by location: Chetan Bhagat
01:32:50.589 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 14 by location: Yes Bank
01:32:50.589 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 15 by location: INS Satpura
01:32:50.589 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 16 by location: S-400
01:32:50.589 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 17 by location: विधानसभा चुनाव
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 18 by location: #1MonthForSarkarSaravedi
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 19 by location: #CHEGOA
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 20 by location: #VikasBahl
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 21 by location: #ElleBeautyAwards
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 22 by location: #Banksy
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 23 by location: #ABPOpinionPoll
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 24 by location: #notarulingworldwide
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 25 by location: #8YearsOfMaheshKHALEJA
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 26 by location: #SPA2018
01:32:50.590 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 27 by location: #AssemblyElection2018
01:32:50.591 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 28 by location: #ABVP
01:32:50.591 [main] INFO  com.twitterapi.base.BaseLoader - Trending topic 29 by location: #IndiaSkills2018
